"Minority","Female","callback","Company_anonymous","Industry_broad","Employees","Private","Language_important"
1,1,0,"a232","Administrative support",64,1,1
1,0,0,"a233","Retail",50,1,0
1,1,0,"a234","Administrative support",15,1,1
0,1,0,"a235","Administrative support",55,0,0
1,1,0,"a236","Administrative support",40,1,0
1,0,0,"a237","Administrative support",50,1,1
1,1,0,"a238","Administrative support",8,0,1
1,1,0,"a239","Construction & Extraction",15,1,0
1,0,0,"a24","Retail",5,1,1
1,0,0,"a240","Retail",50,1,0
1,1,1,"a241","Education",25,0,1
0,1,0,"a242","Education",30,0,1
0,0,0,"a243","Education",10,0,1
1,1,0,"a244","Education",25,0,1
0,0,1,"a245","Education",25,0,1
1,0,0,"a246","Education",17,0,1
1,1,0,"a247","Education",15,0,1
0,1,0,"a248","Education",25,0,1
0,1,0,"a249","Education",55,0,1
0,0,1,"a25","Retail",5,1,1
0,1,0,"a250","Health care",5,1,1
1,1,0,"a251","Administrative support",50,0,0
1,1,0,"a252","Administrative support",56,1,0
0,1,0,"a253","Administrative support",60,1,1
0,0,0,"a254","Administrative support",50,1,1
0,0,1,"a255","Sales & related",60,1,1
1,1,0,"a256","Education",50,0,1
0,0,0,"a257","Sales & related",53,1,1
1,1,0,"a258","Education",20,0,1
0,1,1,"a259","Health care",50,0,0
1,0,0,"a26","Retail",5,1,0
0,0,0,"a260","Health care",56,0,0
1,1,1,"a261","Health care",63,0,0
1,1,0,"a262","Administrative support",81,1,1
1,0,0,"a263","Administrative support",7,1,1
0,0,1,"a264","Health care",25,0,0
0,1,0,"a265","Health care",30,0,0
1,0,0,"a266","Administrative support",124,1,1
1,0,0,"a267","Administrative support",63,1,1
1,1,1,"a268","Construction & Extraction",60,1,1
1,1,0,"a269","Construction & Extraction",20,1,1
1,0,0,"a27","Retail",5,0,0
0,1,1,"a270","Sales & related",68,1,1
0,1,1,"a271","Sales & related",NA,1,1
1,0,0,"a272","Construction & Extraction",50,1,0
1,0,0,"a273","Construction & Extraction",67,1,0
1,1,1,"a274","Construction & Extraction",51,1,1
0,1,0,"a275","Construction & Extraction",52,1,0
1,1,0,"a276","Education",25,0,1
0,1,1,"a277","Health care",54,0,0
0,0,1,"a278","Retail",15,1,0
0,1,0,"a279","Administrative support",99,1,1
0,0,0,"a28","Retail",60,1,0
0,0,1,"a280","Sales & related",103,1,1
0,0,1,"a281","Construction & Extraction",121,1,1
0,0,1,"a282","Health care",63,0,1
0,0,1,"a283","Health care",59,0,1
0,1,0,"a284","Administrative support",60,1,1
0,1,0,"a285","Retail",NA,1,0
1,0,0,"a286","Construction & Extraction",56,1,1
1,0,0,"a287","Construction & Extraction",79,1,0
1,0,1,"a288","Sales & related",55,1,0
0,0,1,"a289","Construction & Extraction",72,1,0
1,0,0,"a29","Retail",58,1,1
0,1,0,"a290","Construction & Extraction",83,1,0
1,0,0,"a291","Construction & Extraction",89,1,0
0,0,1,"a292","Construction & Extraction",69,1,1
0,0,0,"a293","Administrative support",68,1,1
0,0,1,"a294","Construction & Extraction",69,1,1
0,1,0,"a295","Construction & Extraction",58,1,1
1,1,1,"a296","Construction & Extraction",53,1,1
0,0,0,"a297","Retail",51,1,0
1,0,0,"a298","Construction & Extraction",53,1,0
0,0,0,"a299","Construction & Extraction",79,1,0
0,0,0,"a3","Retail",26,1,0
1,0,0,"a30","Retail",52,1,0
0,0,0,"a300","Construction & Extraction",67,1,0
0,1,1,"a301","Education",30,0,1
0,1,0,"a302","Administrative support",89,1,0
0,1,1,"a303","Construction & Extraction",60,1,0
1,1,1,"a304","Construction & Extraction",67,1,0
0,1,0,"a305","Education",30,1,1
1,1,1,"a306","Education",60,0,1
1,0,1,"a307","Education",25,0,1
1,0,0,"a308","Sales & related",154,1,1
1,1,0,"a309","Construction & Extraction",73,1,0
1,0,1,"a31","Retail",10,1,1
0,1,0,"a310","Construction & Extraction",67,1,0
1,0,0,"a311","Education",55,0,1
